hart et al 20.nucleus,hart et al 20.nucleolus
hart et al 20.nucleolus,hart et al 20.unknown
hart et al 202.cytoplasm,hart et al 202.nucleus
hart et al 203.cytoplasm,hart et al 203.endosome
hart et al 203.endosome,hart et al 203.lipid particle
hart et al 204.cytoplasm,hart et al 204.nucleus
hart et al 205.cytoplasm,hart et al 205.nucleus
hart et al 206.cytoplasm,hart et al 206.nucleus
hart et al 206.nucleus,hart et al 206.ER
hart et al 206.ER,hart et al 206.nucleolus
hart et al 207.nucleus,hart et al 207.nucleolus
hart et al 208.cytoplasm,hart et al 208.unknown
hart et al 21.cytoplasm,hart et al 21.nucleus
hart et al 21.nucleus,hart et al 21.unknown
hart et al 211.ER,hart et al 211.unknown
hart et al 212.cytoplasm,hart et al 212.unknown
hart et al 215.nucleus,hart et al 215.mitochondrion
hart et al 218.cytoplasm,hart et al 218.nucleus
hart et al 218.nucleus,hart et al 218.mitochondrion
hart et al 219.cytoplasm,hart et al 219.mitochondrion
hart et al 22.cytoplasm,hart et al 22.nucleus
hart et al 22.nucleus,hart et al 22.mitochondrion
hart et al 22.mitochondrion,hart et al 22.unknown
hart et al 222.cytoplasm,hart et al 222.mitochondrion
hart et al 223.cytoplasm,hart et al 223.nucleus
hart et al 224.cytoplasm,hart et al 224.nucleus
hart et al 226.cytoplasm,hart et al 226.nucleus
hart et al 228.cytoplasm,hart et al 228.nucleolus
hart et al 229.cytoplasm,hart et al 229.nucleus
hart et al 23.cytoplasm,hart et al 23.nucleus
hart et al 23.nucleus,hart et al 23.spindle pole
hart et al 23.spindle pole,hart et al 23.unknown
hart et al 234.cytoplasm,hart et al 234.nucleus
hart et al 234.nucleus,hart et al 234.unknown
hart et al 239.cytoplasm,hart et al 239.bud neck
hart et al 239.bud neck,hart et al 239.bud
hart et al 239.bud,hart et al 239.unknown
hart et al 24.nucleus,hart et al 24.spindle pole
hart et al 24.spindle pole,hart et al 24.microtubule
hart et al 24.microtubule,hart et al 24.unknown
hart et al 240.cytoplasm,hart et al 240.nucleus
hart et al 241.nucleus,hart et al 241.nucleolus
hart et al 242.early Golgi,hart et al 242.late Golgi
hart et al 242.late Golgi,hart et al 242.punctate composite
hart et al 246.cytoplasm,hart et al 246.nucleus
hart et al 247.cytoplasm,hart et al 247.nucleus
hart et al 247.nucleus,hart et al 247.unknown
hart et al 248.early Golgi,hart et al 248.punctate composite
hart et al 248.punctate composite,hart et al 248.unknown
hart et al 25.cytoplasm,hart et al 25.late Golgi
hart et al 25.late Golgi,hart et al 25.punctate composite
hart et al 25.punctate composite,hart et al 25.unknown
hart et al 250.cytoplasm,hart et al 250.nucleus
