YER167W.cytoplasm,YER167W.nucleus
YER171W.cytoplasm,YER171W.nucleus
YER172C.cytoplasm,YER172C.nucleus
YER173W.cytoplasm,YER173W.nucleus
YER174C.cytoplasm,YER174C.nucleus
YFL002C.nucleus,YFL002C.nucleolus
YFL007W.cytoplasm,YFL007W.nucleus
YFL008W.cytoplasm,YFL008W.nucleus
YFL034C-B.cytoplasm,YFL034C-B.cell periphery
YFL044C.cytoplasm,YFL044C.nucleus
YFR001W.nucleus,YFR001W.nucleolus
YFR004W.cytoplasm,YFR004W.nucleus
YFR010W.cytoplasm,YFR010W.nucleus
YFR011C.cytoplasm,YFR011C.mitochondrion
YFR015C.cytoplasm,YFR015C.punctate composite
YFR024C-A.cytoplasm,YFR024C-A.mitochondrion
YFR024C-A.cytoplasm,YFR024C-A.bud neck
YFR024C-A.mitochondrion,YFR024C-A.bud neck
YFR024C-A.cytoplasm,YFR024C-A.cell periphery
YFR024C-A.mitochondrion,YFR024C-A.cell periphery
YFR024C-A.bud neck,YFR024C-A.cell periphery
YFR027W.cytoplasm,YFR027W.nucleus
YFR031C.cytoplasm,YFR031C.nucleus
YFR034C.cytoplasm,YFR034C.nucleus
YFR050C.cytoplasm,YFR050C.nucleus
YFR051C.early Golgi,YFR051C.Golgi
YGL011C.cytoplasm,YGL011C.nucleus
YGL016W.cytoplasm,YGL016W.nucleus
YGL016W.cytoplasm,YGL016W.nuclear periphery
YGL016W.nucleus,YGL016W.nuclear periphery
YGL019W.cytoplasm,YGL019W.nucleus
YGL026C.cytoplasm,YGL026C.nucleus
YGL035C.cytoplasm,YGL035C.nucleus
YGL058W.cytoplasm,YGL058W.nucleus
YGL071W.cytoplasm,YGL071W.nucleus
YGL078C.nucleus,YGL078C.nucleolus
YGL087C.cytoplasm,YGL087C.nucleus
YGL090W.cytoplasm,YGL090W.nucleus
YGL095C.early Golgi,YGL095C.late Golgi
YGL111W.nucleus,YGL111W.nucleolus
YGL113W.cytoplasm,YGL113W.nucleus
YGL116W.cytoplasm,YGL116W.nucleus
YGL125W.cytoplasm,YGL125W.nucleus
YGL128C.cytoplasm,YGL128C.nucleus
YGL130W.cytoplasm,YGL130W.nucleus
YGL137W.early Golgi,YGL137W.Golgi
YGL155W.cytoplasm,YGL155W.nucleus
YGL162W.cytoplasm,YGL162W.nucleus
YGL163C.cytoplasm,YGL163C.nucleus
YGL174W.cytoplasm,YGL174W.nucleus
YGL181W.cytoplasm,YGL181W.actin
YGL194C.cytoplasm,YGL194C.nucleus
YGL201C.cytoplasm,YGL201C.nucleus
YGL210W.cytoplasm,YGL210W.nucleus
YGL212W.cytoplasm,YGL212W.vacuole
YGL220W.cytoplasm,YGL220W.nucleus
YGL227W.cytoplasm,YGL227W.nucleus
YGL233W.cytoplasm,YGL233W.bud neck
YGL233W.cytoplasm,YGL233W.cell periphery
YGL233W.bud neck,YGL233W.cell periphery
YGL238W.cytoplasm,YGL238W.nucleus
YGL240W.cytoplasm,YGL240W.nucleus
YGL241W.cytoplasm,YGL241W.nucleus
YGL254W.cytoplasm,YGL254W.nucleus
YGR003W.cytoplasm,YGR003W.nucleus
YGR010W.cytoplasm,YGR010W.nucleus
YGR013W.cytoplasm,YGR013W.nucleus
YGR017W.cytoplasm,YGR017W.nucleus
YGR024C.cytoplasm,YGR024C.nucleus
YGR040W.cytoplasm,YGR040W.nucleus
YGR041W.bud neck,YGR041W.bud
YGR047C.cytoplasm,YGR047C.nucleus
YGR048W.cytoplasm,YGR048W.nucleus
YGR052W.cytoplasm,YGR052W.nucleus
YGR060W.ER,YGR060W.vacuole
YGR090W.nucleus,YGR090W.nucleolus
YGR091W.cytoplasm,YGR091W.nucleus
YGR092W.cytoplasm,YGR092W.bud neck
YGR095C.cytoplasm,YGR095C.nucleus
YGR095C.cytoplasm,YGR095C.nucleolus
YGR095C.nucleus,YGR095C.nucleolus
YGR098C.cytoplasm,YGR098C.nucleus
YGR103W.nucleus,YGR103W.nucleolus
YGR120C.early Golgi,YGR120C.Golgi
YGR135W.cytoplasm,YGR135W.nucleus
YGR136W.cytoplasm,YGR136W.nucleus
YGR140W.nucleus,YGR140W.spindle pole
YGR140W.nucleus,YGR140W.microtubule
YGR140W.spindle pole,YGR140W.microtubule
YGR152C.cytoplasm,YGR152C.nucleus
YGR158C.cytoplasm,YGR158C.nucleus
YGR161C.cytoplasm,YGR161C.nucleus
YGR178C.cytoplasm,YGR178C.nucleus
YGR180C.cytoplasm,YGR180C.nucleus
YGR188C.nucleus,YGR188C.spindle pole
YGR188C.nucleus,YGR188C.microtubule
YGR188C.spindle pole,YGR188C.microtubule
YGR191W.ER,YGR191W.cell periphery
YGR191W.ER,YGR191W.bud
YGR191W.cell periphery,YGR191W.bud
YGR191W.ER,YGR191W.vacuole
YGR191W.cell periphery,YGR191W.vacuole
YGR191W.bud,YGR191W.vacuole
YGR192C.cytoplasm,YGR192C.nucleus
YGR195W.nucleus,YGR195W.nucleolus
YGR204W.cytoplasm,YGR204W.nucleus
YGR208W.cytoplasm,YGR208W.nucleus
YGR209C.cytoplasm,YGR209C.nucleus
YGR229C.late Golgi,YGR229C.punctate composite
YGR232W.cytoplasm,YGR232W.nucleus
YGR233C.cytoplasm,YGR233C.nucleus
YGR238C.cell periphery,YGR238C.bud
YGR241C.bud neck,YGR241C.cell periphery
YGR241C.bud neck,YGR241C.bud
YGR241C.cell periphery,YGR241C.bud
YGR253C.cytoplasm,YGR253C.nucleus
YGR258C.cytoplasm,YGR258C.nucleus
YGR261C.early Golgi,YGR261C.punctate composite
YGR261C.early Golgi,YGR261C.Golgi
YGR261C.punctate composite,YGR261C.Golgi
YGR262C.cytoplasm,YGR262C.nucleus
YGR268C.cytoplasm,YGR268C.nucleus
YGR278W.cytoplasm,YGR278W.nucleus
YHL007C.cytoplasm,YHL007C.bud
YHL030W.cytoplasm,YHL030W.nucleus
YHR009C.cytoplasm,YHR009C.nucleus
YHR010W.cytoplasm,YHR010W.nucleolus
YHR027C.cytoplasm,YHR027C.nucleus
YHR030C.cytoplasm,YHR030C.nucleus
YHR031C.cytoplasm,YHR031C.nucleus
YHR034C.cytoplasm,YHR034C.nucleus
YHR041C.cytoplasm,YHR041C.nucleus
YHR052W.nucleus,YHR052W.nucleolus
YHR058C.cytoplasm,YHR058C.nucleus
YHR061C.cytoplasm,YHR061C.nucleus
YHR066W.nucleus,YHR066W.nucleolus
YHR069C.cytoplasm,YHR069C.nucleus
YHR069C.cytoplasm,YHR069C.nucleolus
YHR069C.nucleus,YHR069C.nucleolus
YHR074W.cytoplasm,YHR074W.nucleus
YHR086W.cytoplasm,YHR086W.nucleus
YHR104W.cytoplasm,YHR104W.nucleus
YHR107C.bud neck,YHR107C.cell periphery
YHR118C.cytoplasm,YHR118C.nucleus
YHR121W.cytoplasm,YHR121W.nucleus
YHR135C.cytoplasm,YHR135C.nucleus
YHR137W.cytoplasm,YHR137W.nucleus
YHR143W-A.cytoplasm,YHR143W-A.nucleolus
YHR149C.cytoplasm,YHR149C.bud neck
YHR149C.cytoplasm,YHR149C.cell periphery
YHR149C.bud neck,YHR149C.cell periphery
YHR149C.cytoplasm,YHR149C.bud
YHR149C.bud neck,YHR149C.bud
YHR149C.cell periphery,YHR149C.bud
YHR158C.bud neck,YHR158C.cell periphery
YHR158C.bud neck,YHR158C.bud
YHR158C.cell periphery,YHR158C.bud
YHR161C.bud neck,YHR161C.cell periphery
YHR161C.bud neck,YHR161C.bud
YHR161C.cell periphery,YHR161C.bud
YHR165C.cytoplasm,YHR165C.nucleus
YHR167W.cytoplasm,YHR167W.nucleus
YHR178W.cytoplasm,YHR178W.nucleus
YHR179W.cytoplasm,YHR179W.nucleus
YHR195W.nucleus,YHR195W.spindle pole
YHR200W.cytoplasm,YHR200W.nucleus
YIL017C.cytoplasm,YIL017C.nucleus
YIL033C.cytoplasm,YIL033C.nucleus
YIL035C.cytoplasm,YIL035C.nucleus
YIL045W.cytoplasm,YIL045W.punctate composite
YIL046W.cytoplasm,YIL046W.nucleus
YIL053W.cytoplasm,YIL053W.nucleus
YIL061C.cytoplasm,YIL061C.nucleus
YIL068C.bud neck,YIL068C.cell periphery
YIL068C.bud neck,YIL068C.bud
YIL068C.cell periphery,YIL068C.bud
